Text,Title,Source,Category,ChunkIndex,LastCrawled
"Quest for Excellence
The mission of UIU is to create excellent human resources with intellectual, creative, technical, moral and practical skills to serve community, industry and region. We do it by developing integrated, interactive, involved and caring relationships among teachers, students, guardians and employers.
United International University (UIU) offers a comprehensive admission process, welcoming students into diverse programs that foster academic growth and real-world skills, set in a supportive and innovative educational environment.
UIU Offers 12 undergraduate programs from 4 different schools
UIU Offers 5 graduate programs from 3 different schools
From different centers and institutes UIU offers over 40 short professional courses.
United International University (UIU) is acclaimed for its educational quality, boasting notable rankings and recognitions in higher education, reflecting its commitment to academic and research excellence on both a national and global scale.
Stay Updated: Explore the Latest Notices from UIU for Key Information on Academic Schedules, Upcoming Events, and Essential University Announcements. Keep Informed, Stay Ahead!
Final Exam Schedule – Spring 2026 Semester
NOTICE REGARDING LIBRARY AND STUDY ROOM
Loan Application for Summer 2026 Trimester
[Revised] Final Exam Schedule – Spring 2026 Trimester
HOLIDAY NOTICE : HOLY EID-UL-ADHA
Explore UIU's Vibrant Campus Life: Check Out Upcoming Events, Workshops, and Gatherings. Connect, Learn, and Grow with Our Engaging University Events and Activities!
Discover the Latest: Dive into UIU's Current News, Featuring Exciting Developments, Achievements, and Stories. Be in the Know with Our University's Vibrant Community and Events
Immerse in UIU's Campus Life: Experience Our Dynamic Community through Cultural Events, Clubs, Sports, and Social Activities. Discover, Participate, and Enrich Your University Journey!
UIU in Digital and Print Media: Explore Our Impactful Presence Both Online and Offline. Discover Our Stories, Achievements, and News Features Showcased in Various Media Outlets.
cross disciplinary boundaries
with multidisciplinary research
sponsored research budget",United International University (UIU),https://www.uiu.ac.bd/,general,0,2026-06-16T08:12:03.623381
"United International University is established with the generous support and patronage of the United Group, a very successful conglomerate operating in diverse business areas in Bangladesh.
Full Time Faculty Members
United International University is a private university approved by the Government of the People’s Republic of Bangladesh and University Grants Commission (UGC) of Bangladesh.
The vision of UIU is to become the center of excellence in teaching, learning and research in the South Asian region.
The mission of UIU is to create excellent human resources with intellectual, creative, technical, moral and practical skills to serve community, industry and region.
The permanent campus of UIU has been built on a plot of 25-bigha land located at the “United City”, Madani Avenue, Badda (2.5 km east of US Embassy) comprehensively. The University had shifted to its permanent campus and started all its academic & administrative activities from February 2018.
Vision Mission Goals
General Information
Guiding Principles
Ranking & Accreditation",About UIU - United International University (UIU),https://www.uiu.ac.bd/about-uiu/,about,0,2026-06-16T08:12:04.489218
"Vision Mission Goals
General Information
Guiding Principles
Ranking & Accreditation
The vision of UIU is to become the center of excellence in teaching, learning and research in the South Asian region.
The mission of UIU is to create excellent human resources with intellectual, creative, technical, moral and practical skills to serve community, industry and region. We do it by developing integrated, interactive, involved and caring relationships among teachers, students, guardians and employers.
To realize this mission and vision, the goals of UIU are as follows:
To provide state of the art and standard education as preparation for higher studies or future employment in positions of responsibility across a worldwide range of ICT, Business, Social and Public Organizations.
To make available internationally recognized education in Bangladesh and to develop our graduates up to international standard through getting accreditation of internationally recognized accreditation bodies.
To use modern instructional techniques and technology to the best advantage to enhance and enrich students’ achievements of their educational and career goals as well as socio-economic development of the country.
To establish joint degree programs with different renowned universities of USA, UK, Canada and Australia to facilitate quality education and also to make foreign degrees available to the students while staying in Bangladesh at an affordable cost.
To provide educational opportunities to persons already employed or engaged in business allowing them to pursue undergraduate and graduate programs without interrupting their careers and without any compromise of quality education.
To create congenial academic environment for the youth that is free from political and other disturbances for their intellectual advancement.
To use information technology in all phases of academic as well as administrative aspects of the university program to ensure free and transparent flow of information.
To undertake such additional programs and activities as are essential to the achievement of the above listed objectives.",Vision Mission Goals - United International University (UIU),https://www.uiu.ac.bd/about-uiu/vision-mission-goals/,about,0,2026-06-16T08:12:05.322939
"Vision Mission Goals General Information Guiding Principles Ranking & Accreditation Top Ten Facts on UIU Top-notch Faculty At United International University (UIU), we take immense pride in our distinguished faculty, a cornerstone of our academic excellence. Our faculty pool boasts some 225 dedicated full-time members, including more than 60 PhD holders, who bring a wealth of knowledge and research experience to our vibrant learning community. Additionally, our academic team is enriched by experienced part-time faculty members, from both academia and industry, ensuring a dynamic and diverse educational environment. Together, they are committed to fostering innovation, critical thinking, and academic rigor, empowering our students to excel and lead in their chosen fields. Leader in Research and Innovation UIU’s dynamic research environment nurtures creativity, discovery, and excellence. Our commitment to research and innovation is exemplified by the Institute for Advanced Research (IAR), established in 2019 and led by Professor Emeritus Dr. M. Rezwan Khan, a three-time former Vice Chancellor. IAR fosters a robust culture of research involving researchers from all over the world with substantial funding. Since its inception, IAR has funded hundreds of projects, with participation of researchers from home and abroad, spending a substantial amount of money. Besides some 50 departmental labs, UIU has several specialized research institutes and centers. Among others, the Institute for Research, Innovation, Incubation, and Commercialization (IRIIC), the University Innovation Hub (UIH), the Center for Energy Research (CER), and the Center for Smart Infrastructure Resilience and Sustainability (CSIRS) etc. are pivotal in driving groundbreaking research and technological advancements for our university. Ranking and Accreditation We take pride in our impressive ranking and accreditations, highlighting our commitment to academic excellence. UIU is ranked 3 rd among Bangladeshi private universities and 5 th among all universities in the country in the QS World Rankings 2024. In THE IMPACT Rankings, UIU was ranked in the world in the SDG-1 category from 2020 to 2023 and came out 2 nd among all universities of Bangladesh in 2024. UIU Business School is accredited by the globally renowned US-based ACBSP, unconditionally for 10 years. Additionally, its BBA in AIS program is ACCA-accredited as well. Furthermore, the CSE and EEE programs under the School of Science and Engineering are accredited by the Institution of Engineers, Bangladesh (IEB). These recognitions emphasize our dedication to maintaining high educational standards and fostering an environment that supports both academic and professional growth. Campus infrastructure Our state-of-the-art campus,",Why Choose UIU - United International University (UIU),https://www.uiu.ac.bd/about-uiu/why-uiu/,about,0,2026-06-16T08:12:06.165068
"as well. Furthermore, the CSE and EEE programs under the School of Science and Engineering are accredited by the Institution of Engineers, Bangladesh (IEB). These recognitions emphasize our dedication to maintaining high educational standards and fostering an environment that supports both academic and professional growth. Campus infrastructure Our state-of-the-art campus, built in the heart of Dhaka city on a plot of 25-Bigha land, stands as a testament to our commitment to providing an exceptional educational environment. With an impressive floor space of 7,04,975 sq. ft. our 12-story building, which can be raised up to 20-story, is equipped with modern facilities that cater to the diverse needs of our students and faculty. In addition to our cutting-edge academic and research spaces, our campus features a lush, green playground covering 2,30,400 sq. ft. offering a serene and refreshing atmosphere for relaxation and recreation. Explore our campus and discover an inspiring setting designed to nurture innovation, learning, and holistic development. Trending technologies At United International University (UIU), we integrate cutting-edge technologies into our curricular, co-curricular, and administrative activities to enhance the educational experience and ensure efficient university management. Among the key technologies we employ includes UCAM (University Comprehensive Academic Manager) which facilitates the automation of various university processes, including admission, course registration, billing, grading, scholarships, fees and waiver management. It offers a centralized platform for managing academic and administrative tasks efficiently. Our eLMS (eLearning Management System) platform supports online learning by allowing faculty to upload course materials, track student progress, and manage assignments and quizzes. This system ensures that students can access educational resources and assessments anytime, anywhere. We also have a RFID-based entry-exit and student attendance system. Facilities and Services United International University (UIU) offers a range of facilities to enhance the academic and extracurricular experiences of its students. The huge campus features a large playground dedicated for various sports, indoor games room, a well-furnished canteen with multiple vendors, and a dedicated coffee shop. The UIU Library (Shaheed Irfan Bhuiyan Library) is a key resource center with over 16,000 volumes, 3,500 electronic books, and access to over 12,000 proceedings and 7,753 copies of journals and periodicals in digital format. Additionally, the university provides free Wi-Fi, licensed Cadence tool-sets for engineering students, and advanced laboratory facilities to support practical learning and research. Scholarships and Financial Aids United International University offers a diverse range of scholarships and waivers to support students in achieving their",Why Choose UIU - United International University (UIU),https://www.uiu.ac.bd/about-uiu/why-uiu/,about,1,2026-06-16T08:12:06.165068
"of journals and periodicals in digital format. Additionally, the university provides free Wi-Fi, licensed Cadence tool-sets for engineering students, and advanced laboratory facilities to support practical learning and research. Scholarships and Financial Aids United International University offers a diverse range of scholarships and waivers to support students in achieving their academic goals. Merit-based scholarships range from 25% to 50% for new admissions based on previous academic performance, and 50% to 100% for talented programmers. Students with diploma degrees also receive 25% scholarships at the time of admission to continue their education at UIU. After admission, top 10% of the students receive 25% to 100% merit scholarship, based on their results, in each trimester/semester. To promote inclusivity and support various groups, UIU also provides tuition and other fees waiver for meritorious and poor students from underdeveloped regions, children of freedom fighters, and students from ethnic groups, tribal communities, and those with physical disabilities. Additionally, there are waivers for siblings/spouse, siblings of alumni, and UIU alumni themselves. Employees and their immediate families, both current and former, also benefit from tuition fee waivers. Other waivers include those for Bangladesh government employees, corporate employees, United Group employees, and foreign students. Financial aid is also available from the BoT Fund for students in need. Career Support & Alumni Network We take pride in offering career support to our students. Our dedicated Directorate of Career Counseling and Student Affairs (DCCSA) ensures that students receive comprehensive career guidance and counseling. We organize a myriad of workshops, seminars, and training sessions to help students navigate their career paths effectively. We also arrange internships for our graduating students in different companies to get practical exposure to real-life environment. Moreover, UIU annually hosts one of the largest job fairs in the region, featuring more than 100 top employers. This event provides an exceptional platform for students to connect with potential employers, gain industry insights, and secure promising job opportunities. Our continuous efforts in career development have established UIU as a leading institution for nurturing future leaders and professionals. Sports and fitness We are dedicated to nurturing the physical well-being and athletic prowess of our students. Our fully-equipped gymnasium (both for male and female students) is equipped with modern fitness machines and equipment to cater to various workout regimes, ensuring that our students can maintain a healthy lifestyle. Additionally, we have a very large playground where students can engage in a",Why Choose UIU - United International University (UIU),https://www.uiu.ac.bd/about-uiu/why-uiu/,about,2,2026-06-16T08:12:06.165068
"athletic prowess of our students. Our fully-equipped gymnasium (both for male and female students) is equipped with modern fitness machines and equipment to cater to various workout regimes, ensuring that our students can maintain a healthy lifestyle. Additionally, we have a very large playground where students can engage in a variety of sports and recreational activities like football and cricket. This combination of fitness facilities and extensive outdoor space supports a balanced and active campus life, encouraging students to excel both academically and physically. Clubs and Forums At United International University, we believe in the holistic development of our students, and our vibrant campus life reflects this commitment. With over 25 active clubs, forums, societies, and associations, UIU offers a dynamic platform for students to engage in co-curricular and extracurricular activities. These clubs cover a diverse range of interests including cultural activities, social services, entrepreneurship, technology, and sports. Each club is designed to help students cultivate leadership skills, explore their passions, and build a strong network within the university community. Join us at UIU and become a part of the thriving, supportive, and engaging environment that nurtures your personal and professional growth.",Why Choose UIU - United International University (UIU),https://www.uiu.ac.bd/about-uiu/why-uiu/,about,3,2026-06-16T08:12:06.166074
"Vision Mission Goals
General Information
Guiding Principles
Ranking & Accreditation
United International University (UIU) is a private university approved by the Ministry of Education,  People’s Republic of Bangladesh on 2nd June 2003 and started functioning from Fall 2003. UIU is also approved by the University Grants Commission (UGC) of Bangladesh.
United International University is established with the generous support and patronage of the United Group , a very successful conglomerate operating in diverse business areas in Bangladesh.
Subsidiaries of United Group
United Enterprises & Co. Ltd.
United Hospital Limited
Khulna Power Company Ltd.
United Rotospin Ltd.
United International University
United Makkah Madina Travel & Assistance Co. Ltd.
United Management & Trading Services Ltd.
United Polymers Ltd.
United Land Port Teknaf Ltd.
United Elevator World Ltd.
United Heavy Equipment & Rental Services Ltd.
Neptune Land Development Limited
Neptune Properties
United Power Generation & Distribution Co. Ltd.
United Property Solutions Ltd.
United City Twin Tower Developers Ltd.
United Ashuganj Power Ltd.
United Engineering & Power Services Ltd.",General Information - United International University (UIU),https://www.uiu.ac.bd/about-uiu/general-information/,about,0,2026-06-16T08:12:07.220039
"Vision Mission Goals
General Information
Guiding Principles
Ranking & Accreditation
To fulfill its mission, UIU applies the following guiding principles:
Study and students should be the first priority and the primary function of faculty/staff/administration. It should be motivated towards helping the students in succeeding academically and in the transition from university life to productive members of society.
To hire highly qualified and nationally and internationally reputed teachers to teach courses relevant to a continuously changing environment.
To provide the necessary infrastructural and logistic support and a campus environment conducive to teaching and learning endeavors.
To search out new trends in education in developed countries, identifying the trend and evaluating their adaptability in Bangladesh- to keep constant updating of the standard of education.
To establish joint degree and credit transfer programs with renowned universities abroad to facilitate quality education and to make foreign degrees available to the students staying in home country.
To conduct and support research for the advancement of knowledge and socio-economic development of the country through application of technology oriented knowledge.
To contribute to moral and ethical development of the students for creation of a society, which will be free from corruption and enduring and respecting each other for co-existence in peace and harmony in good environment in the society.
To disseminate knowledge under the coverage of ethical, human and rational approach reflecting national heritage, values and principles of Bangladesh with a view to producing graduates who will be sound professionally and upright morally.
To create an opportunity to have education, for all groups of people in the country including general people, rural, urban and fresh students as well as jobholders through on campus, online and distance learning education .",Guiding Principles - United International University (UIU),https://www.uiu.ac.bd/about-uiu/guiding-principles/,about,0,2026-06-16T08:12:08.782772
"Vision Mission Goals
General Information
Guiding Principles
Ranking & Accreditation
United International University (UIU) is a top-ranked University in Bangladesh. With only 12 undergraduate and 6 graduate programs, UIU achieved the position within a short period of time.",Ranking & Accreditation - United International University (UIU),https://www.uiu.ac.bd/about-uiu/ranking-accreditation/,about,0,2026-06-16T08:12:09.599787
"United International University (UIU) offers a transformative education experience. With state-of-the-art facilities, a vibrant campus life, and a focus on innovative research, UIU prepares students for global success. Join UIU to unleash your potential in an environment that fosters academic excellence and personal growth.
Full Time Faculty Members
Tuition Fees Waiver/Scholarship
Undergraduate Programs
In 4 different schools, UIU offers a total of 12 undergraduate programs. BBA, BBA in AIS, Economics, Civil Engineering, CSE, EEE, Data Science, EEE, Environment and Development Studies (EDS), Media Studies and Journalism (MSJ), English, Pharmacy and Biotechnology & Genetic Engineering.
Graduate Programs
In 3 different schools, UIU offers a total of 5 graduate programs. The list of programs are MBA, EMBA, MSc in CSE, MS in Economics (MSECO), MS in Development Studies (MDS)
List of Scholarships & Waiver
Every Trimester/Semester Top 10% students get 25%-100% tuition fee waiver based on previous results and trimester results. UIU provides about 10 to 12 crore taka as scholarship in every year, one of the highest amongst the private university. If you are a committed student, take the challenge and build your future with UIU.
Scholarship, Tuition and Other Fees, Waiver Policy
Undergraduate Programs
Graduate Programs
Admission Requirements
Admission Procedure
Credit Transfer to UIU
Direct Admission Notice
International Students
Admission Test Result",Admission - United International University (UIU),https://www.uiu.ac.bd/admission/,admission,0,2026-06-16T08:12:10.704966
"Undergraduate Programs
School of Business and Economics (SoBE)
Bachelor of Business Administration (BBA)
BBA in Accounting and Information Systems (BBA in AIS)
Bachelor of Science in Economics
School of Science and Engineering (SoSE)
B.Sc. in Civil Engineering (CE)
B.Sc. in Computer Science and Engineering (CSE)
B.Sc. in Data Science (BSDS)
B.Sc. in Electrical and Electronic Engineering (EEE)
School of Humanities and Social Sciences (SoHSS)
BSS in Environment and Development Studies program (BSSEDS)
BSS in Media Studies and Journalism (MSJ)
School of Life Sciences (SoLS)
Bachelor of Pharmacy (B. Pharm.)
Bachelor of Science in Biotechnology and Genetic Engineering (BSBGE)",Undergraduate Programs - United International University (UIU),https://www.uiu.ac.bd/admission/undergraduate-program/,admission,0,2026-06-16T08:12:11.486013
"Graduate Programs
Students completing undergraduate programs from UIU having a minimum CGPA of 2.00 will be eligible to get admission to any graduate programs without appearing at the Admission Test.
School of Business & Economics (SoBE)
Master of Business Administration (MBA)
Executive MBA (EMBA)
Master of Science in Economics
Master in International Human Resource Management (MIHRM)
School of Science & Engineering (SoSE)
M.Sc. in Computer Science & Engineering (MSCSE)
School of Humanities and Social Sciences (SoHSS)
Master in Development Studies (MDS)",Graduate Programs - United International University (UIU),https://www.uiu.ac.bd/admission/graduate-program/,admission,0,2026-06-16T08:12:12.291211
